Data,Contrato,Valor BRL/USD
2025-02-11-21h-31m-03s,04/25,5.45
2025-02-11-21h-31m-03s,05/25,5.69
2025-02-11-21h-31m-03s,06/25,5.55
2025-02-11-21h-31m-03s,07/25,5.56
2025-02-11-21h-31m-03s,08/25,5.69
2025-02-11-21h-31m-03s,09/25,5.55
2025-02-11-21h-31m-03s,10/25,5.68
2025-02-11-21h-31m-03s,11/25,5.69
2025-02-11-21h-31m-03s,12/25,5.71
2025-02-11-21h-31m-03s,01/26,5.77
2025-02-11-21h-31m-03s,02/26,5.72
2025-02-11-21h-31m-03s,04/26,5.7
2025-02-11-21h-31m-03s,07/26,5.68
2025-02-11-21h-31m-03s,10/26,5.7
2025-02-11-21h-31m-03s,01/27,5.72
2025-02-11-21h-31m-03s,04/27,5.68
2025-02-11-21h-31m-03s,07/27,5.7
2025-02-11-21h-31m-03s,10/27,5.72
2025-02-11-21h-31m-03s,01/28,5.72
2025-02-11-21h-31m-03s,04/28,5.74
2025-02-11-21h-31m-03s,07/28,5.75
2025-02-11-21h-31m-03s,10/28,5.8
2025-02-11-21h-31m-03s,01/29,5.87
2025-02-11-21h-31m-03s,04/29,5.89
2025-02-11-21h-31m-03s,07/29,5.93
2025-02-11-21h-31m-03s,10/29,5.99
2025-02-11-21h-31m-03s,01/30,6.03
2025-02-11-21h-31m-03s,07/30,6.09
2025-02-11-21h-31m-03s,01/31,6.22
2025-02-11-21h-31m-03s,01/32,6.44
2025-02-11-21h-31m-03s,01/33,6.62
2025-02-11-21h-31m-03s,01/34,6.85
2025-02-11-21h-31m-03s,01/35,7.08
2025-02-11-21h-31m-03s,01/36,7.26
2025-02-11-21h-31m-03s,01/37,7.39
2025-02-11-21h-31m-03s,01/38,7.64
2025-02-11-21h-31m-03s,01/39,7.89
2025-02-11-21h-31m-03s,01/40,8.11
