Data,Contrato,Valor BRL/Metro_Cubico
2025-02-11_21h-30m-47s,02/25,2972.00
2025-02-11_21h-30m-47s,03/25,2946.00
2025-02-11_21h-30m-47s,04/25,2775.00
2025-02-11_21h-30m-47s,05/25,2730.00
2025-02-11_21h-30m-47s,06/25,2680.50
2025-02-11_21h-30m-47s,07/25,2680.00
2025-02-11_21h-30m-47s,08/25,2680.00
2025-02-11_21h-30m-47s,09/25,2720.00
2025-02-11_21h-30m-47s,10/25,2815.00
2025-02-11_21h-30m-47s,11/25,2820.00
2025-02-11_21h-30m-47s,12/25,2780.00
2025-02-11_21h-30m-47s,01/26,2790.00
2025-02-11_21h-30m-47s,02/26,2790.00
2025-02-11_21h-30m-47s,03/26,2790.00
