Data,Contrato,Valor Cts/lp (USD),Valor Ton (USD),Valor Cts/lp (BRL),Valor Ton (BRL)
2025-02-11_21h-27m-52s,03/25,19.87,438.057994,114.4512,2523.21404544
2025-02-11_21h-27m-52s,05/25,18.28,403.00453600000003,105.2928,2321.30612736
2025-02-11_21h-27m-52s,07/25,17.92,395.06790400000006,103.2192,2275.59112704
2025-02-11_21h-27m-52s,10/25,18.01,397.052062,103.7376,2287.01987712
2025-02-11_21h-27m-52s,03/26,18.35,404.54777,105.696,2330.1951552
2025-02-11_21h-27m-52s,05/26,17.64,388.894968,101.6064,2240.03501568
2025-02-11_21h-27m-52s,07/26,17.27,380.737874,99.4752,2193.0501542399998
2025-02-11_21h-27m-52s,10/26,17.26,380.517412,99.41760000000001,2191.78029312
2025-02-11_21h-27m-52s,03/27,17.57,387.35173399999996,101.2032,2231.1459878399996
2025-02-11_21h-27m-52s,05/27,17.15,378.09232999999995,98.78399999999999,2177.8118207999996
2025-02-11_21h-27m-52s,07/27,16.95,373.68308999999994,97.63199999999999,2152.4145983999997
